
Workload,Communication time (s),EPR pair generation time (s),EPR pair distribution time (s),Pre-processing time (s),Classical transfer time (s),Post-processing time (s),Computation time (s),Fetch time (s),Decode time (s),Dispatch time (s),Execution time (s),Coherence (%)
, 8.70406e-05, 6e-05, 6e-10, 2.34e-05, 1.84e-06, 1.8e-06, 1.38e-06, 2.5125e-08, 2e-06, 9.32e-06, 9.97657e-05, 68.9175
, 2.78402e-05, 1.9e-05, 1.9e-10, 7.41e-06, 8.6e-07, 5.7e-07, 6.3e-07, 2.17187e-08, 2.01e-06, 5.85e-06, 3.63519e-05, 87.3156
, 6.40504e-05, 4.4e-05, 4.4e-10, 1.716e-05, 1.57e-06, 1.32e-06, 1.5e-06, 2.50625e-08, 2e-06, 8.375e-06, 7.59505e-05, 75.322
, 5.07303e-05, 3.5e-05, 3.5e-10, 1.365e-05, 1.03e-06, 1.05e-06, 7.5e-07, 2.5e-08, 2e-06, 7.34e-06, 6.08453e-05, 79.6893
, 9.89907e-05, 6.9e-05, 6.9e-10, 2.691e-05, 1.01e-06, 2.07e-06, 1.74e-06, 2.49375e-08, 2e-06, 8.825e-06, 0.000111581, 65.9452
, 3.35402e-05, 2.3e-05, 2.3e-10, 8.97e-06, 8.8e-07, 6.9e-07, 5.4e-07, 2.5e-08, 2e-06, 6.47e-06, 4.25752e-05, 85.3113
, 5.36704e-05, 3.7e-05, 3.7e-10, 1.443e-05, 1.13e-06, 1.11e-06, 6.3e-07, 2.5e-08, 2e-06, 6.69e-06, 6.30154e-05, 79.0467
, 1.60101e-05, 1.1e-05, 1.1e-10, 4.29e-06, 3.9e-07, 3.3e-07, 3e-07, 2.49375e-08, 2e-06, 5.725e-06, 2.406e-05, 91.4136
, 0, 0, 0, 0, 0, 0, 6.6e-07, 2.52e-07, 2.176e-05, 5.628e-05, 7.8952e-05, 74.4832
, 2.60302e-05, 1.8e-05, 1.8e-10, 7.02e-06, 4.7e-07, 5.4e-07, 3.15e-07, 5.86875e-08, 4.94e-06, 1.184e-05, 4.31839e-05, 85.1178


Workload,Communication time (s),EPR pair generation time (s),EPR pair distribution time (s),Pre-processing time (s),Classical transfer time (s),Post-processing time (s),Computation time (s),Fetch time (s),Decode time (s),Dispatch time (s),Execution time (s),Coherence (%)
, 0.000178751, 0.000123, 1.23e-09, 4.797e-05, 4.09e-06, 3.69e-06, 2.805e-06, 4.96875e-08, 4e-06, 1.6875e-05, 0.000202481, 46.9764
, 5.27004e-05, 3.6e-05, 3.6e-10, 1.404e-05, 1.58e-06, 1.08e-06, 1.305e-06, 4.35e-08, 4e-06, 1.588e-05, 7.39289e-05, 75.8924
, 0.000107671, 7.4e-05, 7.4e-10, 2.886e-05, 2.59e-06, 2.22e-06, 3.09e-06, 5.025e-08, 4e-06, 1.73e-05, 0.000132111, 61.0821
, 9.45206e-05, 6.5e-05, 6.5e-10, 2.535e-05, 2.22e-06, 1.95e-06, 1.53e-06, 5e-08, 4e-06, 1.509e-05, 0.000115191, 65.0629
, 0.000175491, 0.000122, 1.22e-09, 4.758e-05, 2.25e-06, 3.66e-06, 2.82e-06, 4.9375e-08, 4e-06, 1.757e-05, 0.000199931, 47.4255
, 7.29605e-05, 5e-05, 5e-10, 1.95e-05, 1.96e-06, 1.5e-06, 1.14e-06, 5e-08, 4e-06, 1.382e-05, 9.19705e-05, 70.9515
, 0.000121551, 8.4e-05, 8.4e-10, 3.276e-05, 2.27e-06, 2.52e-06, 1.35e-06, 5e-08, 4e-06, 1.4e-05, 0.000140951, 59.1002
, 3.33502e-05, 2.3e-05, 2.3e-10, 8.97e-06, 6.9e-07, 6.9e-07, 7.5e-07, 4.9875e-08, 3.98e-06, 1.1925e-05, 5.00551e-05, 82.9632
, 0, 0, 0, 0, 0, 0, 6.6e-07, 2.52e-07, 2.176e-05, 5.628e-05, 7.8952e-05, 74.4832
, 2.61302e-05, 1.8e-05, 1.8e-10, 7.02e-06, 5.7e-07, 5.4e-07, 3.15e-07, 5.86875e-08, 4.94e-06, 1.192e-05, 4.33639e-05, 85.0607


Workload,Communication time (s),EPR pair generation time (s),EPR pair distribution time (s),Pre-processing time (s),Classical transfer time (s),Post-processing time (s),Computation time (s),Fetch time (s),Decode time (s),Dispatch time (s),Execution time (s),Coherence (%)
